date,score,direction,adx_score,ma_score,rsi_score,bb_score,vix_score,vol_score,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_60d
2021-03-08,28.67,bull,0,83.33,10,10,25,40,0.038622434474276934,0.0312036288712485,0.06609963423788923,0.10121292465939402
2021-03-09,36.17,bull,0,83.33,50,10,40,40,0.02251873873694521,0.009051895695813661,0.05277078547407865,0.08190299967203818
2021-03-10,36.17,bull,0,83.33,50,10,40,40,0.01931616505085998,-0.002480286515704977,0.05087702665689631,0.08491823739790405
2021-03-11,47.0,bull,0,100.0,100,10,40,40,-0.00606196124740066,-0.007569813139779558,0.04809427786630227,0.07290051765863148
2021-03-12,47.0,bull,0,100.0,100,10,40,40,-0.00766862344113739,0.00791206197702432,0.04682582338038932,0.07199979494699105
2021-03-15,50.0,bull,0,100.0,100,30,40,40,-0.007142928321958952,0.00054174326548595,0.04350025570872651,0.06314277035707816
2021-03-16,52.0,bull,0,100.0,100,30,60,40,-0.013170265278234727,-0.0010497644668374662,0.04086854624964431,0.06976796625770265
2021-03-17,52.0,bull,0,100.0,100,30,60,40,-0.021383406163756224,-0.0003095589899395623,0.0493945323490681,0.0687749278228107
2021-03-18,42.5,bull,0,100.0,50,30,40,40,-0.0015170481796543678,0.026666127936856965,0.0689600344787078,0.08675607586213596
2021-03-19,42.5,bull,0,100.0,50,30,40,40,0.0157010911739901,0.04211745427923952,0.06392876791436608,0.08522392419593183
2021-03-22,52.0,bull,0,100.0,100,30,60,40,0.007739957549435461,0.033840072309324176,0.04931998740819532,0.07184459715611324
2021-03-23,42.5,bull,0,100.0,50,30,40,40,0.012282261452949195,0.04332670099996938,0.06722888542462013,0.0796159697930201
2021-03-24,36.5,bull,0,100.0,10,30,40,40,0.021534324378463587,0.053489983657793116,0.06321194266109487,0.07130376134414251
2021-03-25,44.5,bull,0,100.0,50,30,60,40,0.02822599631283662,0.056088671770643916,0.06922842215710179,0.08064161788562751
2021-03-26,52.0,bull,0,100.0,100,30,60,40,0.02600800898492328,0.038608290218330676,0.05361125464350858,0.06841040715943691
2021-03-29,50.0,bull,0,100.0,100,30,40,40,0.025899652548617258,0.04293525255931474,0.05429998367719335,0.06818020993404161
2021-03-30,52.0,bull,0,100.0,100,30,60,40,0.030667769977971826,0.041962361312331886,0.0567455568787425,0.07779115629421862
2021-03-31,52.0,bull,0,100.0,100,30,60,40,0.031282022068884086,0.04971948245177571,0.06005208518648453,0.07747768275919364
2021-04-01,49.0,bull,0,100.0,100,10,60,40,0.02709781269654865,0.04119538513152565,0.04012562594941582,0.067350371579461
2021-04-05,49.0,bull,0,100.0,80,30,60,40,0.012280879996125371,0.02092980358937746,0.028139475028585936,0.05245086262032861
2021-04-06,49.0,bull,0,100.0,80,30,60,40,0.01660552274130933,0.014973220243139851,0.02226842225181036,0.054875639260548725
2021-04-07,49.0,bull,0,100.0,80,30,60,40,0.010958518024291708,0.0229095875738079,0.021480629328051615,0.05882179759716011
2021-04-08,47.0,bull,0,100.0,80,30,60,20,0.0178781943138151,0.009228335488816297,0.025493254442495727,0.06227955558119147
2021-04-09,50.0,bull,0,100.0,80,50,60,20,0.013725637676089475,0.012441900701791964,0.02514054879844352,0.05201032855388177
2021-04-12,53.0,bull,0,100.0,80,70,60,20,0.008543995806070459,0.014445257722739857,0.014641493311430054,0.05575101571729957
2021-04-13,60.5,bull,30,100.0,80,70,60,20,-0.0016056400065267429,0.010896871200767322,0.0025377341317636137,0.04327564708978193
2021-04-14,62.75,bull,30,100.0,80,85,60,20,0.011821523174731174,0.014187840286084219,-0.014939441033494205,0.0593720789496861
2021-04-15,62.75,bull,30,100.0,80,85,60,20,-0.008497931160446837,0.009843203739131834,-0.013888270955927928,0.05136412278627134
2021-04-16,70.25,bull,60,100.0,80,85,60,20,-0.0012663554383812725,-0.0010274336569160436,-0.002776299099271906,0.04389942746268227
2021-04-19,70.25,bull,60,100.0,80,85,60,20,0.0058512687014240505,0.007061867930449939,7.271570645173142e-06,0.05069105723476719
2021-04-20,73.25,bull,60,100.0,100,85,60,20,0.01252261802377963,0.007187580778656333,-0.0017194598668903716,0.05443606120998434
2021-04-21,70.25,bull,60,100.0,80,85,60,20,0.0023386704642616163,-0.001396954592189914,-0.013835115366921724,0.03683794999136558
2021-04-22,71.0,bull,60,100.0,100,70,60,20,0.018498332455367583,0.016116193314966276,0.00583802988956994,0.0298696135143679
2021-04-23,65.0,bull,60,100.0,80,50,60,20,0.00023922472499671166,0.012542594382797922,-0.005815567081743356,0.03418285366128293
2021-04-26,65.0,bull,60,100.0,80,50,60,20,0.001203556894240121,0.00019344127955278623,0.002251801079399929,0.040851323527799854
2021-04-27,65.0,bull,60,100.0,80,50,60,20,-0.00526905488347118,-0.008269030508596287,0.00033669982621531425,0.04317455104454493
2021-04-28,62.0,bull,60,100.0,80,30,60,20,-0.0037269090443464714,-0.028719809252852113,0.0030622775150623838,0.05464977688620709
2021-04-29,59.0,bull,60,100.0,80,10,60,20,-0.0023388738739104076,-0.023500157853406978,-0.002514640135391044,0.050060805155563104
2021-04-30,62.0,bull,60,100.0,100,10,60,20,0.0123004270915128,-0.0017506641336086926,0.00548648867060697,0.052686220167706965
2021-05-03,62.0,bull,60,100.0,100,10,60,20,-0.0010089013445185868,-0.007005127077547191,0.0022372151481244718,0.04960573304724303
2021-05-04,62.0,bull,60,100.0,100,10,60,20,-0.0030158663906587613,-0.008843477437103342,0.01043541592998376,0.06110696588575926
2021-05-05,62.0,bull,60,100.0,100,10,60,20,-0.025086394920625366,-0.012455560627348539,0.00606111802103837,0.05462867758362289
2021-05-06,62.0,bull,60,100.0,100,10,60,20,-0.02121089358434325,-0.010115145780587365,0.0067283616183211326,0.044159165723601346
2021-05-07,59.0,bull,60,100.0,80,10,60,20,-0.013880356906983082,-0.01813075476171111,-0.0014364877344228422,0.04501956251265371
2021-05-10,62.0,bull,60,100.0,100,10,60,20,-0.006002281442846424,0.002057961705101752,0.009270678563122248,0.05114803672924806
2021-05-11,47.0,bear,60,100.0,10,10,45,20,-0.005845239507821565,0.008677484720704953,0.01624472085085893,0.06671322788108092
2021-05-12,39.5,bull,30,100.0,10,10,25,40,0.012955849859381585,0.03272185211917744,0.043351809242665684,0.09192131430605488
2021-05-13,41.0,bull,30,100.0,10,10,40,40,0.01133619870820679,0.021490549012157967,0.03281214380699082,0.07777509973404251
2021-05-14,49.0,bull,30,100.0,50,10,60,40,-0.004310225320526495,0.007249844847564635,0.01947837195522495,0.06298738483477795
2021-05-17,49.0,bull,30,100.0,50,10,60,40,0.008108915138807404,0.009307542745382591,0.020008167556411216,0.06704315927274496
